snapshot_index,case_name,dataset_split,time_s,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m
2521,surrGrid_H0240_obsH0066_x0380,training_grid,0.5,0.24,0.066,0.38,0.024
2522,surrGrid_H0240_obsH0066_x0380,training_grid,0.525,0.24,0.066,0.38,0.024
2523,surrGrid_H0240_obsH0066_x0380,training_grid,0.55,0.24,0.066,0.38,0.024
2524,surrGrid_H0240_obsH0066_x0380,training_grid,0.575,0.24,0.066,0.38,0.024
2525,surrGrid_H0240_obsH0066_x0380,training_grid,0.6,0.24,0.066,0.38,0.024
2526,surrGrid_H0240_obsH0066_x0380,training_grid,0.625,0.24,0.066,0.38,0.024
2527,surrGrid_H0240_obsH0066_x0380,training_grid,0.65,0.24,0.066,0.38,0.024
2528,surrGrid_H0240_obsH0066_x0380,training_grid,0.675,0.24,0.066,0.38,0.024
2529,surrGrid_H0240_obsH0066_x0380,training_grid,0.7,0.24,0.066,0.38,0.024
2530,surrGrid_H0240_obsH0066_x0380,training_grid,0.725,0.24,0.066,0.38,0.024
2531,surrGrid_H0240_obsH0066_x0380,training_grid,0.75,0.24,0.066,0.38,0.024
2532,surrGrid_H0240_obsH0066_x0380,training_grid,0.775,0.24,0.066,0.38,0.024
2533,surrGrid_H0240_obsH0066_x0380,training_grid,0.8,0.24,0.066,0.38,0.024
2534,surrGrid_H0240_obsH0066_x0380,training_grid,0.825,0.24,0.066,0.38,0.024
2535,surrGrid_H0240_obsH0066_x0380,training_grid,0.85,0.24,0.066,0.38,0.024
2536,surrGrid_H0240_obsH0066_x0380,training_grid,0.875,0.24,0.066,0.38,0.024
2537,surrGrid_H0240_obsH0066_x0380,training_grid,0.9,0.24,0.066,0.38,0.024
2538,surrGrid_H0240_obsH0066_x0380,training_grid,0.925,0.24,0.066,0.38,0.024
2539,surrGrid_H0240_obsH0066_x0380,training_grid,0.95,0.24,0.066,0.38,0.024
2540,surrGrid_H0240_obsH0066_x0380,training_grid,0.975,0.24,0.066,0.38,0.024
2541,surrGrid_H0240_obsH0066_x0380,training_grid,1.0,0.24,0.066,0.38,0.024
2542,surrGrid_H0240_obsH0066_x0380,training_grid,1.025,0.24,0.066,0.38,0.024
2543,surrGrid_H0240_obsH0066_x0380,training_grid,1.05,0.24,0.066,0.38,0.024
2544,surrGrid_H0240_obsH0066_x0380,training_grid,1.075,0.24,0.066,0.38,0.024
2545,surrGrid_H0240_obsH0066_x0380,training_grid,1.1,0.24,0.066,0.38,0.024
2546,surrGrid_H0240_obsH0066_x0380,training_grid,1.125,0.24,0.066,0.38,0.024
2547,surrGrid_H0240_obsH0066_x0380,training_grid,1.15,0.24,0.066,0.38,0.024
2548,surrGrid_H0240_obsH0066_x0380,training_grid,1.175,0.24,0.066,0.38,0.024
2549,surrGrid_H0240_obsH0066_x0380,training_grid,1.2,0.24,0.066,0.38,0.024
2550,surrGrid_H0240_obsH0066_x0380,training_grid,1.225,0.24,0.066,0.38,0.024
2551,surrGrid_H0240_obsH0066_x0380,training_grid,1.25,0.24,0.066,0.38,0.024
2552,surrGrid_H0240_obsH0066_x0380,training_grid,1.275,0.24,0.066,0.38,0.024
2553,surrGrid_H0240_obsH0066_x0380,training_grid,1.3,0.24,0.066,0.38,0.024
2554,surrGrid_H0240_obsH0066_x0380,training_grid,1.325,0.24,0.066,0.38,0.024
2555,surrGrid_H0240_obsH0066_x0380,training_grid,1.35,0.24,0.066,0.38,0.024
2556,surrGrid_H0240_obsH0066_x0380,training_grid,1.375,0.24,0.066,0.38,0.024
2557,surrGrid_H0240_obsH0066_x0380,training_grid,1.4,0.24,0.066,0.38,0.024
2558,surrGrid_H0240_obsH0066_x0380,training_grid,1.425,0.24,0.066,0.38,0.024
2559,surrGrid_H0240_obsH0066_x0380,training_grid,1.45,0.24,0.066,0.38,0.024
2560,surrGrid_H0240_obsH0066_x0380,training_grid,1.475,0.24,0.066,0.38,0.024
2561,surrGrid_H0240_obsH0066_x0380,training_grid,1.5,0.24,0.066,0.38,0.024
2562,surrGrid_H0240_obsH0072_x0220,training_grid,0.0,0.24,0.072,0.22,0.024
2563,surrGrid_H0240_obsH0072_x0220,training_grid,0.025,0.24,0.072,0.22,0.024
2564,surrGrid_H0240_obsH0072_x0220,training_grid,0.05,0.24,0.072,0.22,0.024
2565,surrGrid_H0240_obsH0072_x0220,training_grid,0.075,0.24,0.072,0.22,0.024
2566,surrGrid_H0240_obsH0072_x0220,training_grid,0.1,0.24,0.072,0.22,0.024
2567,surrGrid_H0240_obsH0072_x0220,training_grid,0.125,0.24,0.072,0.22,0.024
2568,surrGrid_H0240_obsH0072_x0220,training_grid,0.15,0.24,0.072,0.22,0.024
2569,surrGrid_H0240_obsH0072_x0220,training_grid,0.175,0.24,0.072,0.22,0.024
2570,surrGrid_H0240_obsH0072_x0220,training_grid,0.2,0.24,0.072,0.22,0.024
2571,surrGrid_H0240_obsH0072_x0220,training_grid,0.225,0.24,0.072,0.22,0.024
2572,surrGrid_H0240_obsH0072_x0220,training_grid,0.25,0.24,0.072,0.22,0.024
2573,surrGrid_H0240_obsH0072_x0220,training_grid,0.275,0.24,0.072,0.22,0.024
2574,surrGrid_H0240_obsH0072_x0220,training_grid,0.3,0.24,0.072,0.22,0.024
2575,surrGrid_H0240_obsH0072_x0220,training_grid,0.325,0.24,0.072,0.22,0.024
2576,surrGrid_H0240_obsH0072_x0220,training_grid,0.35,0.24,0.072,0.22,0.024
2577,surrGrid_H0240_obsH0072_x0220,training_grid,0.375,0.24,0.072,0.22,0.024
2578,surrGrid_H0240_obsH0072_x0220,training_grid,0.4,0.24,0.072,0.22,0.024
2579,surrGrid_H0240_obsH0072_x0220,training_grid,0.425,0.24,0.072,0.22,0.024
2580,surrGrid_H0240_obsH0072_x0220,training_grid,0.45,0.24,0.072,0.22,0.024
2581,surrGrid_H0240_obsH0072_x0220,training_grid,0.475,0.24,0.072,0.22,0.024
2582,surrGrid_H0240_obsH0072_x0220,training_grid,0.5,0.24,0.072,0.22,0.024
2583,surrGrid_H0240_obsH0072_x0220,training_grid,0.525,0.24,0.072,0.22,0.024
2584,surrGrid_H0240_obsH0072_x0220,training_grid,0.55,0.24,0.072,0.22,0.024
2585,surrGrid_H0240_obsH0072_x0220,training_grid,0.575,0.24,0.072,0.22,0.024
2586,surrGrid_H0240_obsH0072_x0220,training_grid,0.6,0.24,0.072,0.22,0.024
2587,surrGrid_H0240_obsH0072_x0220,training_grid,0.625,0.24,0.072,0.22,0.024
2588,surrGrid_H0240_obsH0072_x0220,training_grid,0.65,0.24,0.072,0.22,0.024
2589,surrGrid_H0240_obsH0072_x0220,training_grid,0.675,0.24,0.072,0.22,0.024
2590,surrGrid_H0240_obsH0072_x0220,training_grid,0.7,0.24,0.072,0.22,0.024
2591,surrGrid_H0240_obsH0072_x0220,training_grid,0.725,0.24,0.072,0.22,0.024
2592,surrGrid_H0240_obsH0072_x0220,training_grid,0.75,0.24,0.072,0.22,0.024
2593,surrGrid_H0240_obsH0072_x0220,training_grid,0.775,0.24,0.072,0.22,0.024
2594,surrGrid_H0240_obsH0072_x0220,training_grid,0.8,0.24,0.072,0.22,0.024
2595,surrGrid_H0240_obsH0072_x0220,training_grid,0.825,0.24,0.072,0.22,0.024
2596,surrGrid_H0240_obsH0072_x0220,training_grid,0.85,0.24,0.072,0.22,0.024
2597,surrGrid_H0240_obsH0072_x0220,training_grid,0.875,0.24,0.072,0.22,0.024
2598,surrGrid_H0240_obsH0072_x0220,training_grid,0.9,0.24,0.072,0.22,0.024
2599,surrGrid_H0240_obsH0072_x0220,training_grid,0.925,0.24,0.072,0.22,0.024
2600,surrGrid_H0240_obsH0072_x0220,training_grid,0.95,0.24,0.072,0.22,0.024
2601,surrGrid_H0240_obsH0072_x0220,training_grid,0.975,0.24,0.072,0.22,0.024
2602,surrGrid_H0240_obsH0072_x0220,training_grid,1.0,0.24,0.072,0.22,0.024
2603,surrGrid_H0240_obsH0072_x0220,training_grid,1.025,0.24,0.072,0.22,0.024
2604,surrGrid_H0240_obsH0072_x0220,training_grid,1.05,0.24,0.072,0.22,0.024
2605,surrGrid_H0240_obsH0072_x0220,training_grid,1.075,0.24,0.072,0.22,0.024
2606,surrGrid_H0240_obsH0072_x0220,training_grid,1.1,0.24,0.072,0.22,0.024
2607,surrGrid_H0240_obsH0072_x0220,training_grid,1.125,0.24,0.072,0.22,0.024
2608,surrGrid_H0240_obsH0072_x0220,training_grid,1.15,0.24,0.072,0.22,0.024
2609,surrGrid_H0240_obsH0072_x0220,training_grid,1.175,0.24,0.072,0.22,0.024
2610,surrGrid_H0240_obsH0072_x0220,training_grid,1.2,0.24,0.072,0.22,0.024
2611,surrGrid_H0240_obsH0072_x0220,training_grid,1.225,0.24,0.072,0.22,0.024
2612,surrGrid_H0240_obsH0072_x0220,training_grid,1.25,0.24,0.072,0.22,0.024
2613,surrGrid_H0240_obsH0072_x0220,training_grid,1.275,0.24,0.072,0.22,0.024
2614,surrGrid_H0240_obsH0072_x0220,training_grid,1.3,0.24,0.072,0.22,0.024
2615,surrGrid_H0240_obsH0072_x0220,training_grid,1.325,0.24,0.072,0.22,0.024
2616,surrGrid_H0240_obsH0072_x0220,training_grid,1.35,0.24,0.072,0.22,0.024
2617,surrGrid_H0240_obsH0072_x0220,training_grid,1.375,0.24,0.072,0.22,0.024
2618,surrGrid_H0240_obsH0072_x0220,training_grid,1.4,0.24,0.072,0.22,0.024
2619,surrGrid_H0240_obsH0072_x0220,training_grid,1.425,0.24,0.072,0.22,0.024
2620,surrGrid_H0240_obsH0072_x0220,training_grid,1.45,0.24,0.072,0.22,0.024
2621,surrGrid_H0240_obsH0072_x0220,training_grid,1.475,0.24,0.072,0.22,0.024
2622,surrGrid_H0240_obsH0072_x0220,training_grid,1.5,0.24,0.072,0.22,0.024
2623,surrGrid_H0240_obsH0072_x0250,training_grid,0.0,0.24,0.072,0.25,0.024
2624,surrGrid_H0240_obsH0072_x0250,training_grid,0.025,0.24,0.072,0.25,0.024
2625,surrGrid_H0240_obsH0072_x0250,training_grid,0.05,0.24,0.072,0.25,0.024
2626,surrGrid_H0240_obsH0072_x0250,training_grid,0.075,0.24,0.072,0.25,0.024
2627,surrGrid_H0240_obsH0072_x0250,training_grid,0.1,0.24,0.072,0.25,0.024
2628,surrGrid_H0240_obsH0072_x0250,training_grid,0.125,0.24,0.072,0.25,0.024
2629,surrGrid_H0240_obsH0072_x0250,training_grid,0.15,0.24,0.072,0.25,0.024
2630,surrGrid_H0240_obsH0072_x0250,training_grid,0.175,0.24,0.072,0.25,0.024
2631,surrGrid_H0240_obsH0072_x0250,training_grid,0.2,0.24,0.072,0.25,0.024
2632,surrGrid_H0240_obsH0072_x0250,training_grid,0.225,0.24,0.072,0.25,0.024
2633,surrGrid_H0240_obsH0072_x0250,training_grid,0.25,0.24,0.072,0.25,0.024
2634,surrGrid_H0240_obsH0072_x0250,training_grid,0.275,0.24,0.072,0.25,0.024
2635,surrGrid_H0240_obsH0072_x0250,training_grid,0.3,0.24,0.072,0.25,0.024
2636,surrGrid_H0240_obsH0072_x0250,training_grid,0.325,0.24,0.072,0.25,0.024
2637,surrGrid_H0240_obsH0072_x0250,training_grid,0.35,0.24,0.072,0.25,0.024
2638,surrGrid_H0240_obsH0072_x0250,training_grid,0.375,0.24,0.072,0.25,0.024
2639,surrGrid_H0240_obsH0072_x0250,training_grid,0.4,0.24,0.072,0.25,0.024
2640,surrGrid_H0240_obsH0072_x0250,training_grid,0.425,0.24,0.072,0.25,0.024
2641,surrGrid_H0240_obsH0072_x0250,training_grid,0.45,0.24,0.072,0.25,0.024
2642,surrGrid_H0240_obsH0072_x0250,training_grid,0.475,0.24,0.072,0.25,0.024
2643,surrGrid_H0240_obsH0072_x0250,training_grid,0.5,0.24,0.072,0.25,0.024
2644,surrGrid_H0240_obsH0072_x0250,training_grid,0.525,0.24,0.072,0.25,0.024
2645,surrGrid_H0240_obsH0072_x0250,training_grid,0.55,0.24,0.072,0.25,0.024
2646,surrGrid_H0240_obsH0072_x0250,training_grid,0.575,0.24,0.072,0.25,0.024
2647,surrGrid_H0240_obsH0072_x0250,training_grid,0.6,0.24,0.072,0.25,0.024
2648,surrGrid_H0240_obsH0072_x0250,training_grid,0.625,0.24,0.072,0.25,0.024
2649,surrGrid_H0240_obsH0072_x0250,training_grid,0.65,0.24,0.072,0.25,0.024
2650,surrGrid_H0240_obsH0072_x0250,training_grid,0.675,0.24,0.072,0.25,0.024
2651,surrGrid_H0240_obsH0072_x0250,training_grid,0.7,0.24,0.072,0.25,0.024
2652,surrGrid_H0240_obsH0072_x0250,training_grid,0.725,0.24,0.072,0.25,0.024
2653,surrGrid_H0240_obsH0072_x0250,training_grid,0.75,0.24,0.072,0.25,0.024
2654,surrGrid_H0240_obsH0072_x0250,training_grid,0.775,0.24,0.072,0.25,0.024
2655,surrGrid_H0240_obsH0072_x0250,training_grid,0.8,0.24,0.072,0.25,0.024
2656,surrGrid_H0240_obsH0072_x0250,training_grid,0.825,0.24,0.072,0.25,0.024
2657,surrGrid_H0240_obsH0072_x0250,training_grid,0.85,0.24,0.072,0.25,0.024
2658,surrGrid_H0240_obsH0072_x0250,training_grid,0.875,0.24,0.072,0.25,0.024
2659,surrGrid_H0240_obsH0072_x0250,training_grid,0.9,0.24,0.072,0.25,0.024
2660,surrGrid_H0240_obsH0072_x0250,training_grid,0.925,0.24,0.072,0.25,0.024
2661,surrGrid_H0240_obsH0072_x0250,training_grid,0.95,0.24,0.072,0.25,0.024
2662,surrGrid_H0240_obsH0072_x0250,training_grid,0.975,0.24,0.072,0.25,0.024
2663,surrGrid_H0240_obsH0072_x0250,training_grid,1.0,0.24,0.072,0.25,0.024
2664,surrGrid_H0240_obsH0072_x0250,training_grid,1.025,0.24,0.072,0.25,0.024
2665,surrGrid_H0240_obsH0072_x0250,training_grid,1.05,0.24,0.072,0.25,0.024
2666,surrGrid_H0240_obsH0072_x0250,training_grid,1.075,0.24,0.072,0.25,0.024
2667,surrGrid_H0240_obsH0072_x0250,training_grid,1.1,0.24,0.072,0.25,0.024
2668,surrGrid_H0240_obsH0072_x0250,training_grid,1.125,0.24,0.072,0.25,0.024
2669,surrGrid_H0240_obsH0072_x0250,training_grid,1.15,0.24,0.072,0.25,0.024
2670,surrGrid_H0240_obsH0072_x0250,training_grid,1.175,0.24,0.072,0.25,0.024
2671,surrGrid_H0240_obsH0072_x0250,training_grid,1.2,0.24,0.072,0.25,0.024
2672,surrGrid_H0240_obsH0072_x0250,training_grid,1.225,0.24,0.072,0.25,0.024
2673,surrGrid_H0240_obsH0072_x0250,training_grid,1.25,0.24,0.072,0.25,0.024
2674,surrGrid_H0240_obsH0072_x0250,training_grid,1.275,0.24,0.072,0.25,0.024
2675,surrGrid_H0240_obsH0072_x0250,training_grid,1.3,0.24,0.072,0.25,0.024
2676,surrGrid_H0240_obsH0072_x0250,training_grid,1.325,0.24,0.072,0.25,0.024
2677,surrGrid_H0240_obsH0072_x0250,training_grid,1.35,0.24,0.072,0.25,0.024
2678,surrGrid_H0240_obsH0072_x0250,training_grid,1.375,0.24,0.072,0.25,0.024
2679,surrGrid_H0240_obsH0072_x0250,training_grid,1.4,0.24,0.072,0.25,0.024
2680,surrGrid_H0240_obsH0072_x0250,training_grid,1.425,0.24,0.072,0.25,0.024
2681,surrGrid_H0240_obsH0072_x0250,training_grid,1.45,0.24,0.072,0.25,0.024
2682,surrGrid_H0240_obsH0072_x0250,training_grid,1.475,0.24,0.072,0.25,0.024
2683,surrGrid_H0240_obsH0072_x0250,training_grid,1.5,0.24,0.072,0.25,0.024
2684,surrGrid_H0240_obsH0072_x0275,training_grid,0.0,0.24,0.072,0.275,0.024
2685,surrGrid_H0240_obsH0072_x0275,training_grid,0.025,0.24,0.072,0.275,0.024
2686,surrGrid_H0240_obsH0072_x0275,training_grid,0.05,0.24,0.072,0.275,0.024
2687,surrGrid_H0240_obsH0072_x0275,training_grid,0.075,0.24,0.072,0.275,0.024
2688,surrGrid_H0240_obsH0072_x0275,training_grid,0.1,0.24,0.072,0.275,0.024
2689,surrGrid_H0240_obsH0072_x0275,training_grid,0.125,0.24,0.072,0.275,0.024
2690,surrGrid_H0240_obsH0072_x0275,training_grid,0.15,0.24,0.072,0.275,0.024
2691,surrGrid_H0240_obsH0072_x0275,training_grid,0.175,0.24,0.072,0.275,0.024
2692,surrGrid_H0240_obsH0072_x0275,training_grid,0.2,0.24,0.072,0.275,0.024
2693,surrGrid_H0240_obsH0072_x0275,training_grid,0.225,0.24,0.072,0.275,0.024
2694,surrGrid_H0240_obsH0072_x0275,training_grid,0.25,0.24,0.072,0.275,0.024
2695,surrGrid_H0240_obsH0072_x0275,training_grid,0.275,0.24,0.072,0.275,0.024
2696,surrGrid_H0240_obsH0072_x0275,training_grid,0.3,0.24,0.072,0.275,0.024
2697,surrGrid_H0240_obsH0072_x0275,training_grid,0.325,0.24,0.072,0.275,0.024
2698,surrGrid_H0240_obsH0072_x0275,training_grid,0.35,0.24,0.072,0.275,0.024
2699,surrGrid_H0240_obsH0072_x0275,training_grid,0.375,0.24,0.072,0.275,0.024
2700,surrGrid_H0240_obsH0072_x0275,training_grid,0.4,0.24,0.072,0.275,0.024
2701,surrGrid_H0240_obsH0072_x0275,training_grid,0.425,0.24,0.072,0.275,0.024
2702,surrGrid_H0240_obsH0072_x0275,training_grid,0.45,0.24,0.072,0.275,0.024
2703,surrGrid_H0240_obsH0072_x0275,training_grid,0.475,0.24,0.072,0.275,0.024
2704,surrGrid_H0240_obsH0072_x0275,training_grid,0.5,0.24,0.072,0.275,0.024
2705,surrGrid_H0240_obsH0072_x0275,training_grid,0.525,0.24,0.072,0.275,0.024
2706,surrGrid_H0240_obsH0072_x0275,training_grid,0.55,0.24,0.072,0.275,0.024
2707,surrGrid_H0240_obsH0072_x0275,training_grid,0.575,0.24,0.072,0.275,0.024
2708,surrGrid_H0240_obsH0072_x0275,training_grid,0.6,0.24,0.072,0.275,0.024
2709,surrGrid_H0240_obsH0072_x0275,training_grid,0.625,0.24,0.072,0.275,0.024
2710,surrGrid_H0240_obsH0072_x0275,training_grid,0.65,0.24,0.072,0.275,0.024
2711,surrGrid_H0240_obsH0072_x0275,training_grid,0.675,0.24,0.072,0.275,0.024
2712,surrGrid_H0240_obsH0072_x0275,training_grid,0.7,0.24,0.072,0.275,0.024
2713,surrGrid_H0240_obsH0072_x0275,training_grid,0.725,0.24,0.072,0.275,0.024
2714,surrGrid_H0240_obsH0072_x0275,training_grid,0.75,0.24,0.072,0.275,0.024
2715,surrGrid_H0240_obsH0072_x0275,training_grid,0.775,0.24,0.072,0.275,0.024
2716,surrGrid_H0240_obsH0072_x0275,training_grid,0.8,0.24,0.072,0.275,0.024
2717,surrGrid_H0240_obsH0072_x0275,training_grid,0.825,0.24,0.072,0.275,0.024
2718,surrGrid_H0240_obsH0072_x0275,training_grid,0.85,0.24,0.072,0.275,0.024
2719,surrGrid_H0240_obsH0072_x0275,training_grid,0.875,0.24,0.072,0.275,0.024
2720,surrGrid_H0240_obsH0072_x0275,training_grid,0.9,0.24,0.072,0.275,0.024
2721,surrGrid_H0240_obsH0072_x0275,training_grid,0.925,0.24,0.072,0.275,0.024
2722,surrGrid_H0240_obsH0072_x0275,training_grid,0.95,0.24,0.072,0.275,0.024
2723,surrGrid_H0240_obsH0072_x0275,training_grid,0.975,0.24,0.072,0.275,0.024
2724,surrGrid_H0240_obsH0072_x0275,training_grid,1.0,0.24,0.072,0.275,0.024
2725,surrGrid_H0240_obsH0072_x0275,training_grid,1.025,0.24,0.072,0.275,0.024
2726,surrGrid_H0240_obsH0072_x0275,training_grid,1.05,0.24,0.072,0.275,0.024
2727,surrGrid_H0240_obsH0072_x0275,training_grid,1.075,0.24,0.072,0.275,0.024
2728,surrGrid_H0240_obsH0072_x0275,training_grid,1.1,0.24,0.072,0.275,0.024
2729,surrGrid_H0240_obsH0072_x0275,training_grid,1.125,0.24,0.072,0.275,0.024
2730,surrGrid_H0240_obsH0072_x0275,training_grid,1.15,0.24,0.072,0.275,0.024
2731,surrGrid_H0240_obsH0072_x0275,training_grid,1.175,0.24,0.072,0.275,0.024
2732,surrGrid_H0240_obsH0072_x0275,training_grid,1.2,0.24,0.072,0.275,0.024
2733,surrGrid_H0240_obsH0072_x0275,training_grid,1.225,0.24,0.072,0.275,0.024
2734,surrGrid_H0240_obsH0072_x0275,training_grid,1.25,0.24,0.072,0.275,0.024
2735,surrGrid_H0240_obsH0072_x0275,training_grid,1.275,0.24,0.072,0.275,0.024
2736,surrGrid_H0240_obsH0072_x0275,training_grid,1.3,0.24,0.072,0.275,0.024
2737,surrGrid_H0240_obsH0072_x0275,training_grid,1.325,0.24,0.072,0.275,0.024
2738,surrGrid_H0240_obsH0072_x0275,training_grid,1.35,0.24,0.072,0.275,0.024
2739,surrGrid_H0240_obsH0072_x0275,training_grid,1.375,0.24,0.072,0.275,0.024
2740,surrGrid_H0240_obsH0072_x0275,training_grid,1.4,0.24,0.072,0.275,0.024
2741,surrGrid_H0240_obsH0072_x0275,training_grid,1.425,0.24,0.072,0.275,0.024
2742,surrGrid_H0240_obsH0072_x0275,training_grid,1.45,0.24,0.072,0.275,0.024
2743,surrGrid_H0240_obsH0072_x0275,training_grid,1.475,0.24,0.072,0.275,0.024
2744,surrGrid_H0240_obsH0072_x0275,training_grid,1.5,0.24,0.072,0.275,0.024
2745,surrGrid_H0240_obsH0072_x0292,training_grid,0.0,0.24,0.072,0.292,0.024
2746,surrGrid_H0240_obsH0072_x0292,training_grid,0.025,0.24,0.072,0.292,0.024
2747,surrGrid_H0240_obsH0072_x0292,training_grid,0.05,0.24,0.072,0.292,0.024
2748,surrGrid_H0240_obsH0072_x0292,training_grid,0.075,0.24,0.072,0.292,0.024
2749,surrGrid_H0240_obsH0072_x0292,training_grid,0.1,0.24,0.072,0.292,0.024
2750,surrGrid_H0240_obsH0072_x0292,training_grid,0.125,0.24,0.072,0.292,0.024
2751,surrGrid_H0240_obsH0072_x0292,training_grid,0.15,0.24,0.072,0.292,0.024
2752,surrGrid_H0240_obsH0072_x0292,training_grid,0.175,0.24,0.072,0.292,0.024
2753,surrGrid_H0240_obsH0072_x0292,training_grid,0.2,0.24,0.072,0.292,0.024
2754,surrGrid_H0240_obsH0072_x0292,training_grid,0.225,0.24,0.072,0.292,0.024
2755,surrGrid_H0240_obsH0072_x0292,training_grid,0.25,0.24,0.072,0.292,0.024
2756,surrGrid_H0240_obsH0072_x0292,training_grid,0.275,0.24,0.072,0.292,0.024
2757,surrGrid_H0240_obsH0072_x0292,training_grid,0.3,0.24,0.072,0.292,0.024
2758,surrGrid_H0240_obsH0072_x0292,training_grid,0.325,0.24,0.072,0.292,0.024
2759,surrGrid_H0240_obsH0072_x0292,training_grid,0.35,0.24,0.072,0.292,0.024
2760,surrGrid_H0240_obsH0072_x0292,training_grid,0.375,0.24,0.072,0.292,0.024
2761,surrGrid_H0240_obsH0072_x0292,training_grid,0.4,0.24,0.072,0.292,0.024
2762,surrGrid_H0240_obsH0072_x0292,training_grid,0.425,0.24,0.072,0.292,0.024
2763,surrGrid_H0240_obsH0072_x0292,training_grid,0.45,0.24,0.072,0.292,0.024
2764,surrGrid_H0240_obsH0072_x0292,training_grid,0.475,0.24,0.072,0.292,0.024
2765,surrGrid_H0240_obsH0072_x0292,training_grid,0.5,0.24,0.072,0.292,0.024
2766,surrGrid_H0240_obsH0072_x0292,training_grid,0.525,0.24,0.072,0.292,0.024
2767,surrGrid_H0240_obsH0072_x0292,training_grid,0.55,0.24,0.072,0.292,0.024
2768,surrGrid_H0240_obsH0072_x0292,training_grid,0.575,0.24,0.072,0.292,0.024
2769,surrGrid_H0240_obsH0072_x0292,training_grid,0.6,0.24,0.072,0.292,0.024
2770,surrGrid_H0240_obsH0072_x0292,training_grid,0.625,0.24,0.072,0.292,0.024
2771,surrGrid_H0240_obsH0072_x0292,training_grid,0.65,0.24,0.072,0.292,0.024
2772,surrGrid_H0240_obsH0072_x0292,training_grid,0.675,0.24,0.072,0.292,0.024
2773,surrGrid_H0240_obsH0072_x0292,training_grid,0.7,0.24,0.072,0.292,0.024
2774,surrGrid_H0240_obsH0072_x0292,training_grid,0.725,0.24,0.072,0.292,0.024
2775,surrGrid_H0240_obsH0072_x0292,training_grid,0.75,0.24,0.072,0.292,0.024
2776,surrGrid_H0240_obsH0072_x0292,training_grid,0.775,0.24,0.072,0.292,0.024
2777,surrGrid_H0240_obsH0072_x0292,training_grid,0.8,0.24,0.072,0.292,0.024
2778,surrGrid_H0240_obsH0072_x0292,training_grid,0.825,0.24,0.072,0.292,0.024
2779,surrGrid_H0240_obsH0072_x0292,training_grid,0.85,0.24,0.072,0.292,0.024
2780,surrGrid_H0240_obsH0072_x0292,training_grid,0.875,0.24,0.072,0.292,0.024
2781,surrGrid_H0240_obsH0072_x0292,training_grid,0.9,0.24,0.072,0.292,0.024
2782,surrGrid_H0240_obsH0072_x0292,training_grid,0.925,0.24,0.072,0.292,0.024
2783,surrGrid_H0240_obsH0072_x0292,training_grid,0.95,0.24,0.072,0.292,0.024
2784,surrGrid_H0240_obsH0072_x0292,training_grid,0.975,0.24,0.072,0.292,0.024
2785,surrGrid_H0240_obsH0072_x0292,training_grid,1.0,0.24,0.072,0.292,0.024
2786,surrGrid_H0240_obsH0072_x0292,training_grid,1.025,0.24,0.072,0.292,0.024
2787,surrGrid_H0240_obsH0072_x0292,training_grid,1.05,0.24,0.072,0.292,0.024
2788,surrGrid_H0240_obsH0072_x0292,training_grid,1.075,0.24,0.072,0.292,0.024
2789,surrGrid_H0240_obsH0072_x0292,training_grid,1.1,0.24,0.072,0.292,0.024
2790,surrGrid_H0240_obsH0072_x0292,training_grid,1.125,0.24,0.072,0.292,0.024
2791,surrGrid_H0240_obsH0072_x0292,training_grid,1.15,0.24,0.072,0.292,0.024
2792,surrGrid_H0240_obsH0072_x0292,training_grid,1.175,0.24,0.072,0.292,0.024
2793,surrGrid_H0240_obsH0072_x0292,training_grid,1.2,0.24,0.072,0.292,0.024
2794,surrGrid_H0240_obsH0072_x0292,training_grid,1.225,0.24,0.072,0.292,0.024
2795,surrGrid_H0240_obsH0072_x0292,training_grid,1.25,0.24,0.072,0.292,0.024
2796,surrGrid_H0240_obsH0072_x0292,training_grid,1.275,0.24,0.072,0.292,0.024
2797,surrGrid_H0240_obsH0072_x0292,training_grid,1.3,0.24,0.072,0.292,0.024
2798,surrGrid_H0240_obsH0072_x0292,training_grid,1.325,0.24,0.072,0.292,0.024
2799,surrGrid_H0240_obsH0072_x0292,training_grid,1.35,0.24,0.072,0.292,0.024
2800,surrGrid_H0240_obsH0072_x0292,training_grid,1.375,0.24,0.072,0.292,0.024
2801,surrGrid_H0240_obsH0072_x0292,training_grid,1.4,0.24,0.072,0.292,0.024
2802,surrGrid_H0240_obsH0072_x0292,training_grid,1.425,0.24,0.072,0.292,0.024
2803,surrGrid_H0240_obsH0072_x0292,training_grid,1.45,0.24,0.072,0.292,0.024
2804,surrGrid_H0240_obsH0072_x0292,training_grid,1.475,0.24,0.072,0.292,0.024
2805,surrGrid_H0240_obsH0072_x0292,training_grid,1.5,0.24,0.072,0.292,0.024
2806,surrGrid_H0240_obsH0072_x0320,training_grid,0.0,0.24,0.072,0.32,0.024
2807,surrGrid_H0240_obsH0072_x0320,training_grid,0.025,0.24,0.072,0.32,0.024
2808,surrGrid_H0240_obsH0072_x0320,training_grid,0.05,0.24,0.072,0.32,0.024
2809,surrGrid_H0240_obsH0072_x0320,training_grid,0.075,0.24,0.072,0.32,0.024
2810,surrGrid_H0240_obsH0072_x0320,training_grid,0.1,0.24,0.072,0.32,0.024
